artist,song,year
Grouplove,Tongue Tied,2012
Gotye ft. Kimbra,Somebody That I Used to Know,2012
"Carly Rae Jepsen - ""Call Me Maybe""",2012,
The Lumineers,Ho Hey,2012
Ca$h Out,Cashin' Out,2012
Alex Clare,Too Close,2012
Zach Sobiech,Clouds,2012
Trinidad James,All Gold Everything,2013
Of Monsters and Men,Little Talks,2013
The Finatticz,Don't Drop That Thun Thun,2013
Icona Pop,I Love It,2013
Baauer,Harlem Shake,2013
Awolnation,Sail,2013
MKTO,Classic,2013
The Neighbourhood,Sweater Weather,2013
Capital Cities,Safe and Sound,2013
Foxes,Clarity,2013
Ylvis,The Fox (What Does the Fox Say?),2013
A Great Big World,Say Something,2013
Vance Joy,Riptide,2013
O.T. Genasis,CoCo,2014
OG Maco,U Guessed It,2014
Bobby Shmurda,Hot Nigga,2014
Passenger,Let Her Go,2014
Disclosure,Latch,2014
American Authors,Best Day of My Life,2014
Elle King,Ex's & Oh's,2014
Nico & Vinz,Am I Wrong,2014
Magic!,Rude,2014
Mr. Probz,Waves (Robin Schulz Remix),2014
ILoveMakonnen,Tuesday,2014
Milky Chance,Stolen Dance,2014
Lilly Wood and the Prick,Prayer In C (Robin Schulz Remix),2014
Lukas Graham,7 Years,2015
T-Wayne,Nasty Freestyle,2015
Jidenna ft. Roman GianArthur,Classic Man,2015
Walk the Moon,Shut Up and Dance,2015
George Ezra,Budapest,2015
Rachel Platten,Fight Song,2015
OMI,Cheerleader (Felix Jaehn remix),2015
Silentó,Watch Me (Whip/Nae Nae),2015
Kungs vs. Cookin' on 3 Burners,This Girl,2016
Kent Jones,Don't Mind,2016
DNCE,Cake By The Ocean,2016
Desiigner,Panda,2016
Rob Stone,Chill Bill,2016
Kyle,iSpy,2016
Zay Hilfigerrr & Zayion McCall,Juju on That Beat,2016
Young M.A,OOOUUU,2016
Luis Fonsi,Despacito,2017
Ayo & Teo,Rolex,2017
Portugal. The Man,Feel It Still,2017
NF,Let You Down,2017
Blueface,Thotiana,2018
Pinkfong,Baby Shark,2019
Arizona Zervas,Roxanne,2019
